Card Name,Card ID,Card URL,Card Rarity,Card Edition,Card Condition,Quantity,Original Buying Price Per Card,Original Total Price
Blowback Dragon,AST-022,https://beta.trollandtoad.com/yugioh/ancient-sanctuary-ast-1st-edition-singles/blowback-dragon-ast-022-ultra-rare-1st-edition/130164,Ultra Rare,1st Edition,Near Mint,1,4.19,4.19
Ultimate Baseball Kid,SD3-EN009,https://beta.trollandtoad.com/yugioh/structure-deck-blaze-of-destruction-1st-edition-singles/ultimate-baseball-kid-sd3-en009-common-1st-edition/177033,Common,1st Edition,Near Mint,1,0.39,0.39
Thestalos the Firestorm Monarch,RDS-EN021,https://beta.trollandtoad.com/yugioh/rise-of-destiny-rds-1st-edition-singles/thestalos-the-firestorm-monarch-rds-en021-super-rare-1st-edition/131940,Super Rare,1st Edition,Near Mint,1,0.89,0.89
Bonfire Colossus,CBLZ-EN084,https://beta.trollandtoad.com/yugioh/cosmo-blazer-1st-edition-singles/bonfire-colossus-cblz-en084-secret-rare-1st-edition/1012880,Secret Rare,1st Edition,Near Mint,1,0.89,0.89
Divine Wrath,RDS-EN050,https://beta.trollandtoad.com/yugioh/rise-of-destiny-rds-1st-edition-singles/divine-wrath-rds-en050-super-rare-1st-edition/130494,Super Rare,1st Edition,Near Mint,1,1.99,1.99
Red-Eyes B. Dragon,DB1-EN126,https://beta.trollandtoad.com/yugioh/dark-beginning-1-db1/red-eyes-b-dragon-db1-en126-super-rare/131546,Super Rare,Unlimited,Near Mint,1,1.59,1.59
Solar Flare Dragon,LCYW-EN254,https://beta.trollandtoad.com/yugioh/legendary-collection-3-yugi-s-world-unlimited-singles/solar-flare-dragon-lcyw-en254-super-rare-unlimited/1054775,Super Rare,Unlimited,Near Mint,1,0.49,0.49
Hazy Flame Hyppogrif,SDOK-EN007,https://beta.trollandtoad.com/yugioh/structure-deck-onslaught-of-the-fire-kings-sdok-/hazy-flame-hyppogrif-sdok-en007-common-1st-edition/1015452,Common,1st Edition,Near Mint,1,0.35,0.35
Flame Ruler,FET-EN031,https://beta.trollandtoad.com/yugioh/flaming-eternity-fet-1st-edition-singles/flame-ruler-fet-en031-common-1st-edition/130651,Common,1st Edition,Near Mint,1,0.49,0.49
Storming Mirror Force,PGL3-EN099,https://beta.trollandtoad.com/yugioh/premium-gold-infinite-gold-singles/storming-mirror-force-pgl3-en099-gold-rare-1st-edition/1091236,Gold Rare,1st Edition,Near Mint,1,3.79,3.79
Molten Destruction,MRL-098,https://beta.trollandtoad.com/yugioh/magic-ruler-mrl-singles/molten-destruction-mrl-098-common-1st-edition/131269,Common,1st Edition,Near Mint,2,0.39,0.78
Horus the Black Flame Dragon LV8,SOD-EN008,https://beta.trollandtoad.com/yugioh/soul-of-the-duelist-sod-1st-edition-singles/horus-the-black-flame-dragon-lv8-sod-en008-ultra-rare-1st-edition/130916,Ultra Rare,Unlimited,Near Mint,1,3.79,3.79
Cybernetic Magician,CRV-EN016,https://beta.trollandtoad.com/yugioh/cybernetic-revolution-crv-1st-edition-singles/cybernetic-magician-crv-en016-super-rare-1st-edition/139091,Super Rare,1st Edition,Near Mint,1,0.49,0.49
Tyrant Dragon,DB2-EN151,https://beta.trollandtoad.com/yugioh/dark-beginning-2-db2/tyrant-dragon-db2-en151-ultra-rare/139641,Ultra Rare,Unlimited,Near Mint,1,2.99,2.99
Barrier Statue of the Inferno,CDIP-EN020,https://beta.trollandtoad.com/yugioh/cyberdark-impact-cdip-1st-edition-singles/barrier-statue-of-the-inferno-cdip-en020-common-1st-edition/151828,Common,1st Edition,Near Mint,1,0.49,0.49
Lord of the Red,DRL2-EN016,https://beta.trollandtoad.com/yugioh/dragons-of-legend-2-1st-edition-singles/lord-of-the-red-drl2-en016-secret-rare-1st-edition/1074685,Secret Rare,1st Edition,Near Mint,1,1.19,1.19
Quaking Mirror Force,BOSH-EN076,https://beta.trollandtoad.com/yugioh/breakers-of-shadow-1st-edition-singles/quaking-mirror-force-bosh-en076-ultra-rare-1st-edition/1087689,Ultra Rare,1st Edition,Near Mint,1,5.49,5.49
Red-Eyes Transmigration,DRLS-EN017,https://beta.trollandtoad.com/yugioh/dragons-of-legend-2-1st-edition-singles/red-eyes-transmigration-drl2-en017-super-rare-1st-edition/1074686,Super Rare,1st Edition,Near Mint,1,0.99,0.99
Fire King Avatar Garunix,LTGY-EN034,https://beta.trollandtoad.com/yugioh/lord-of-the-tachyon-galaxy-1st-edition-singles/fire-king-avatar-garunix-ltgy-en034-common-1st-edition/1027657,Common,1st Edition,Near Mint,2,0.59,1.18
Fire King High Avatar Garunix,SDOK-EN001,https://beta.trollandtoad.com/yugioh/structure-deck-onslaught-of-the-fire-kings-sdok-/fire-king-high-avatar-garunix-sdok-en001-ultra-rare-1st-edition/1015446,Ultra Rare,1st Edition,Near Mint,2,0.79,1.58
"Karakuri Muso mdl 818 ""Haipa""",STOR-EN083,https://beta.trollandtoad.com/yugioh/storm-of-ragnarok-unlimited-singles/ultimate-rare-karakuri-muso-mdl-818-haipa-stor-en083-unlimited/1029075,Ultimate Rare,Unlimited,Near Mint,1,0.79,0.79
Infernal Flame Emperor,SD3-EN001,https://beta.trollandtoad.com/yugioh/structure-deck-blaze-of-destruction-1st-edition-singles/infernal-flame-emperor-sd3-en001-ultra-rare-1st-edition/177025,Ultra Rare,1st Edition,Near Mint,1,0.49,0.49
Hallowed Life Barrier,SOD-EN060,https://beta.trollandtoad.com/yugioh/soul-of-the-duelist-sod-1st-edition-singles/ultimate-rare-hallowed-life-barrier-sod-en060-1st-edition/334874,Ultimate Rare,1st Edition,Near Mint,1,0.89,0.89
Option Hunter,SOI-EN058,https://beta.trollandtoad.com/yugioh/shadow-of-infinity-soi-1st-edition-singles/ultimate-rare-option-hunter-soi-en058-1st-edition/334858,Ultimate Rare,1st Edition,Near Mint,1,0.79,0.79
Shield & Sword,MRD-131,https://beta.trollandtoad.com/yugioh/metal-raiders-mrd-singles/shield-sword-mrd-131-rare-1st-edition/131681,Rare,1st Edition,Played,1,0.35,0.35
Red-Eyes Zombie Dragon,SDZW-EN001,https://beta.trollandtoad.com/yugioh/structure-deck-zombie-world-1st-edition-singles/red-eyes-zombie-dragon-sdzw-en001-ultra-rare-1st-edition/230234,Ultra Rare,1st Edition,Near Mint,1,0.89,0.89
Kickfire,CBLZ-EN089,https://beta.trollandtoad.com/yugioh/cosmo-blazer-1st-edition-singles/kickfire-cblz-en089-secret-rare-1st-edition/1012882,Secret Rare,1st Edition,Near Mint,1,0.99,0.99
Monster Reborn,LOB-118,https://beta.trollandtoad.com/yugioh/legend-of-blue-eyes-white-dragon-1st-edition-singles/monster-reborn-lob-118-ultra-rare-1st-edition/131277,Ultra Rare,Unlimited,Near Mint,1,4.49,4.49
Mirror Force,DPYG-EN027,https://beta.trollandtoad.com/yugioh/duelist-pack-yugi-1st-edition-singles/mirror-force-dpyg-en027-ultra-rare-1st-edition/275461,Ultra Rare,1st Edition,Near Mint,1,6.19,6.19
Negate Attack,DP1-EN027,https://beta.trollandtoad.com/yugioh/duelist-pack-jaden-yuki-1-1st-edition-singles/negate-attack-dp1-en027-rare-1st-edition/138733,Rare,Unlimited,Near Mint,1,1.99,1.99
Draining Shield,AST-054,https://beta.trollandtoad.com/yugioh/ancient-sanctuary-ast-1st-edition-singles/draining-shield-ast-054-rare-1st-edition/130523,Rare,Unlimited,Near Mint,1,0.89,0.89
Dark Magician,LC01-EN005,https://beta.trollandtoad.com/yugioh/legendary-collection-1-lc01-/dark-magician-lc01-en005-ultra-rare/297556,Ultra Rare,Limited,Near Mint,1,0.89,0.89
Cyber End Dragon,LCGX-EN182,https://beta.trollandtoad.com/yugioh/legendary-collection-2-1st-edition-singles/cyber-end-dragon-lcgx-en182-secret-rare-1st-edition/322281,Secret Rare,1st Edition,Near Mint,1,3.49,3.49
